Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;1;2.A.2M;1;1.7_1;1;-30.23;-59.76;97.95;0.479
1;1;2.A.2M;1;1.7_1;2;-31.09;-60.92;100.47;0.411
1;1;2.A.2M;1;1.7_1;3;-31.8;-60.66;106.51;0.354
1;1;2.A.2M;1;1.8_1;1;-26.59;-66.72;99.73;0.389
1;1;2.A.2M;1;2;0;-33.71;-6.02;65.54;1.396
1;1;2.A.2M;1;2;1;-34.82;-5.61;66.68;1.045
1;1;2.A.2M;1;2;2;-35.96;-4.11;70.15;0.97
1;1;2.A.2M;1;2;3;-37.98;-2.99;75.99;0.987
1;1;2.A.2M;1;2;4;-39.25;0.17;83.83;0.992
1;1;2.A.2M;1;2;5;-42.73;2.29;97.05;0.953
1;1;2.A.2M;1;2;6;-47.46;6.51;108.98;0.912
1;1;2.A.2M;1;2;7;-54.22;8.22;120.13;0.845
1;1;3;0;0;0;-33.05;-1.69;56.93;2.888
1;1;3.A.1;0;0;0;-36.51;2.72;53.74;2.503
1;1;3.A.2;0;0;0;-39.75;3.3;58.32;2.303
1;1;3.A.2;1;0;0;-39.75;3.3;59;2
1;1;3.A.2;1;1M;0;-41.57;3.22;61.32;1.043
1;1;3.A.2;1;1M;1;-41.5;4.14;62.44;0.662
1;1;3.A.2;1;1M;2;-42.04;7.79;64.8;0.629
1;1;3.A.2;1;1M;3;-42.65;16.1;66.17;0.657
1;1;3.A.2;1;1M;4;-43.05;22.42;67.98;0.724
1;1;3.A.2;1;1M;5;-44.76;29.3;68.97;0.674
1;1;3.A.2;1;1M;6;-44.48;35.54;69.42;0.605
1;1;3.A.2;1;1M;7;-45.87;42.58;69.49;0.614
1;1;3.A.2;1;1M;8;-44.24;49.5;69.72;0.56
1;1;3.A.2;1;1M;9;-44.18;56.98;70.29;0.517
1;1;3.A.2;1;2M;0;-41.7;1.8;61.88;0.997
1;1;3.A.2;1;2M;1;-43.66;2.74;62.9;0.785
1;1;3.A.2;1;2M;2;-46.27;3.56;66.07;0.729
1;1;3.A.2;1;2M;3;-50.31;5.03;72.09;0.749
