Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;2;3.A;0;0;0;19.42;-1.83;62.41;4.845
1;2;3.A;1;0;0;20.07;-5.87;63.88;2.219
1;2;3.A;1;1;0;19.4;-5.62;65.31;1.257
1;2;3.A;1;1;1;19.06;-5.15;66.5;1.043
1;2;3.A;1;1;2;18.76;-4.38;69.6;0.823
1;2;3.A;1;1;3;18.69;-3.58;75.45;0.869
1;2;3.A;1;1;4;18.42;-2.88;82.91;0.835
1;2;3.A;1;1;5;19.78;-2;92.39;0.821
1;2;3.A;1;2;0;19.14;-9.87;65.93;1.729
1;2;3.A;1;2;1;19.06;-11.45;66.95;1.148
1;2;3.A;1;2;2;20.64;-14.12;70.88;0.975
1;2;3.A;1;2;3;21.67;-18.04;77.49;0.937
1;2;3.A;1;2;4;23.7;-21.91;84.56;0.925
1;2;3.A;1;2;5;27.51;-26.25;92.16;0.878
1;2;4;0;0;0;30.19;-1.46;58.93;3.425
1;2;4.A.1;0;0;0;27.42;-3.32;63.6;3.576
1;2;4.A.1;1;0;0;27.59;-2.23;65.37;2.205
1;2;4.A.1;1;1;0;27.79;-1;66.24;1.355
1;2;4.A.1;1;1;1;27.93;0.06;68.2;1.07
1;2;4.A.1;1;1;2;30.66;3.32;71.57;0.914
1;2;4.A.1;1;1;3;34.16;8.21;75.88;0.876
1;2;4.A.1;1;1;4;39.53;13.31;78.97;0.816
1;2;4.A.1;1;1;5;44.36;18.85;81.86;0.795
1;2;4.A.1;1;1;6;52.23;26.1;83.56;0.737
1;2;4.A.1;1;2;0;29.43;-1.4;68.17;1.87
1;2;4.A.1;1;2;1;31.35;-1.87;69.69;1.178
1;2;4.A.1;1;2;2;34.7;-2.68;72.26;1.004
1;2;4.A.1;1;2;3;39.2;-5.27;75.84;1.005
1;2;4.A.1;1;2;4;45.69;-7.78;79.68;1.009
1;2;4.A.1;1;2;5;54.84;-12.08;83.83;0.925
1;2;4.A.1;1;2;6;63.66;-15.85;86.83;0.865
1;2;4.A.1;1;2;7;70.6;-21.35;88.47;0.784
1;2;4.A.2;0;0;0;21.15;-1.18;68.9;3.459
1;2;4.A.2;1;0;0;20.62;-1.7;70.3;2.251
